OBJECTID,AQI,Category,ResponsiblePollutant,PollenCount,PollenType,PollenDescription,ReportDateTime,Date,Week,Month,DayOfWeek,AQI_Level,Pollen_Level
1602,57,Moderate,PM2.5,0,Unknown,Not on file,11/27/2020 6:00,11/27/2020,48,11,Friday,Moderate,Low
1603,30,Good,PM2.5,0,Unknown,Not on file,11/26/2020 6:00,11/26/2020,48,11,Thursday,Good,Low
1604,45,Good,PM2.5,0,Unknown,Not on file,11/25/2020 6:00,11/25/2020,48,11,Wednesday,Good,Low
1605,44,Good,PM2.5,0,Unknown,Not on file,11/24/2020 6:00,11/24/2020,48,11,Tuesday,Good,Low
1606,52,Moderate,PM2.5,0,Unknown,Not on file,11/23/2020 6:00,11/23/2020,48,11,Monday,Moderate,Low
1607,78,Moderate,PM2.5,0,Unknown,Not on file,11/22/2020 6:00,11/22/2020,47,11,Sunday,Moderate,Low
1608,65,Moderate,PM2.5,0,Unknown,Not on file,11/21/2020 6:00,11/21/2020,47,11,Saturday,Moderate,Low
1609,34,Good,PM2.5,0,Unknown,Not on file,11/20/2020 6:00,11/20/2020,47,11,Friday,Good,Low
1610,34,Good,PM2.5,0,Unknown,Not on file,11/19/2020 6:00,11/19/2020,47,11,Thursday,Good,Low
1611,21,Good,PM2.5,0,Unknown,Not on file,11/18/2020 6:00,11/18/2020,47,11,Wednesday,Good,Low
1612,29,Good,PM2.5,0,Unknown,Not on file,11/17/2020 6:00,11/17/2020,47,11,Tuesday,Good,Low
1613,26,Good,PM2.5,0,Unknown,Not on file,11/16/2020 6:00,11/16/2020,47,11,Monday,Good,Low
1614,56,Moderate,PM2.5,0,Unknown,Not on file,11/15/2020 6:00,11/15/2020,46,11,Sunday,Moderate,Low
1615,54,Moderate,PM2.5,0,Unknown,Not on file,11/14/2020 6:00,11/14/2020,46,11,Saturday,Moderate,Low
1616,39,Good,PM2.5,0,Unknown,Not on file,11/13/2020 6:00,11/13/2020,46,11,Friday,Good,Low
1617,29,Good,PM2.5,0,Unknown,Not on file,11/12/2020 6:00,11/12/2020,46,11,Thursday,Good,Low
1618,26,Good,PM2.5,0,Unknown,Not on file,11/11/2020 6:00,11/11/2020,46,11,Wednesday,Good,Low
1619,33,Good,PM2.5,0,Unknown,Not on file,11/10/2020 6:00,11/10/2020,46,11,Tuesday,Good,Low
1620,42,Good,PM2.5,0,Unknown,Not on file,11/9/2020 6:00,11/9/2020,46,11,Monday,Good,Low
1621,73,Moderate,PM2.5,0,Unknown,Not on file,11/8/2020 6:00,11/8/2020,45,11,Sunday,Moderate,Low
1622,89,Moderate,PM2.5,0,Unknown,Not on file,11/7/2020 6:00,11/7/2020,45,11,Saturday,Moderate,Low
1623,66,Moderate,PM2.5,0,Unknown,Not on file,11/6/2020 6:00,11/6/2020,45,11,Friday,Moderate,Low
1624,54,Moderate,PM2.5,0,Unknown,Not on file,11/5/2020 6:00,11/5/2020,45,11,Thursday,Moderate,Low
1625,55,Moderate,PM2.5,0,Unknown,Not on file,11/4/2020 6:00,11/4/2020,45,11,Wednesday,Moderate,Low
1626,40,Good,PM2.5,0,Unknown,Not on file,11/3/2020 6:00,11/3/2020,45,11,Tuesday,Good,Low
1627,31,Good,Ozone 8-hr,0,Unknown,Not on file,11/2/2020 6:00,11/2/2020,45,11,Monday,Good,Low
1628,51,Moderate,PM2.5,0,Unknown,Not on file,11/1/2020 5:00,11/1/2020,44,11,Sunday,Moderate,Low
1629,49,Good,PM2.5,0,Ragweed,Slight,10/31/2020 5:00,10/31/2020,44,10,Saturday,Good,Low
1630,21,Good,PM2.5,0,Ragweed,Slight,10/30/2020 5:00,10/30/2020,44,10,Friday,Good,Low
1631,42,Good,PM2.5,0,Ragweed,Slight,10/29/2020 5:00,10/29/2020,44,10,Thursday,Good,Low
1632,48,Good,PM2.5,0,Ragweed,Slight,10/28/2020 5:00,10/28/2020,44,10,Wednesday,Good,Low
1633,29,Good,PM2.5,0,Ragweed,Slight,10/27/2020 5:00,10/27/2020,44,10,Tuesday,Good,Low
1634,36,Good,PM2.5,0,Ragweed,Slight,10/26/2020 5:00,10/26/2020,44,10,Monday,Good,Low
1635,20,Good,PM2.5,0,Ragweed,Slight,10/25/2020 5:00,10/25/2020,43,10,Sunday,Good,Low
1636,30,Good,Ozone 8-hr,0,Ragweed,Slight,10/24/2020 5:00,10/24/2020,43,10,Saturday,Good,Low
1637,36,Good,PM2.5,1,Ragweed,Slight,10/23/2020 5:00,10/23/2020,43,10,Friday,Good,Low
1638,51,Moderate,PM2.5,0,Ragweed,Slight,10/22/2020 5:00,10/22/2020,43,10,Thursday,Moderate,Low
1639,52,Moderate,PM2.5,0,Ragweed,Slight,10/21/2020 5:00,10/21/2020,43,10,Wednesday,Moderate,Low
1640,49,Good,PM2.5,1,Ragweed,Slight,10/20/2020 5:00,10/20/2020,43,10,Tuesday,Good,Low
1641,45,Good,PM2.5,0,Ragweed,Slight,10/19/2020 5:00,10/19/2020,43,10,Monday,Good,Low
1642,29,Good,PM2.5,0,Ragweed,Slight,10/18/2020 5:00,10/18/2020,42,10,Sunday,Good,Low
1643,30,Good,Ozone 8-hr,0,Ragweed,Slight,10/17/2020 5:00,10/17/2020,42,10,Saturday,Good,Low
1644,36,Good,Ozone 8-hr,0,Ragweed,Slight,10/16/2020 5:00,10/16/2020,42,10,Friday,Good,Low
1645,34,Good,Ozone 8-hr,2,Ragweed,Slight,10/15/2020 5:00,10/15/2020,42,10,Thursday,Good,Low
1646,34,Good,Ozone 8-hr,0,Ragweed,Slight,10/14/2020 5:00,10/14/2020,42,10,Wednesday,Good,Low
1647,37,Good,PM2.5,1,Ragweed,Slight,10/13/2020 5:00,10/13/2020,42,10,Tuesday,Good,Low
1648,18,Good,PM2.5,2,Ragweed,Slight,10/12/2020 5:00,10/12/2020,42,10,Monday,Good,Low
1649,41,Good,PM2.5,2,Ragweed,Slight,10/11/2020 5:00,10/11/2020,41,10,Sunday,Good,Low
1650,91,Moderate,PM2.5,2,Ragweed,Slight,10/10/2020 5:00,10/10/2020,41,10,Saturday,Moderate,Low
1651,102,Unhealthy for Sensitive Groups,PM2.5,1,Ragweed,Slight,10/9/2020 5:00,10/9/2020,41,10,Friday,Unhealthy (Sensitive),Low
1652,55,Moderate,PM2.5,1,Elm, Grass,10/8/2020 5:00,10/8/2020,41,10,Thursday,Moderate,Low
1653,51,Moderate,PM2.5,1,Elm, Grass,10/7/2020 5:00,10/7/2020,41,10,Wednesday,Moderate,Low
1654,43,Good,PM2.5,1,Elm, Grass,10/6/2020 5:00,10/6/2020,41,10,Tuesday,Good,Low
1655,51,Moderate,PM2.5,2,Elm, Grass,10/5/2020 5:00,10/5/2020,41,10,Monday,Moderate,Low
1656,51,Moderate,PM2.5,3,Elm, Grass,10/4/2020 5:00,10/4/2020,40,10,Sunday,Moderate,Low
1657,29,Good,PM2.5,2,Elm, Grass,10/3/2020 5:00,10/3/2020,40,10,Saturday,Good,Low
1658,32,Good,Ozone 8-hr,3,Elm, Grass,10/2/2020 5:00,10/2/2020,40,10,Friday,Good,Low
1659,33,Good,Ozone 8-hr,4,Elm, Grass,10/1/2020 5:00,10/1/2020,40,10,Thursday,Good,Low
1660,41,Good,PM2.5,4,Elm, Grass,9/30/2020 5:00,9/30/2020,40,9,Wednesday,Good,Low
1661,38,Good,PM2.5,5,Elm, Grass,9/29/2020 5:00,9/29/2020,40,9,Tuesday,Good,Low
1662,41,Good,PM2.5,5,Elm, Grass,9/28/2020 5:00,9/28/2020,40,9,Monday,Good,Low
1663,34,Good,PM2.5,5,Elm, Grass,9/27/2020 5:00,9/27/2020,39,9,Sunday,Good,Low
1664,27,Good,PM2.5,5,Elm, Grass,9/26/2020 5:00,9/26/2020,39,9,Saturday,Good,Low
1665,29,Good,PM2.5,6,Elm, Grass,9/25/2020 5:00,9/25/2020,39,9,Friday,Good,Moderate
1666,36,Good,PM2.5,6,Elm, Grass,9/24/2020 5:00,9/24/2020,39,9,Thursday,Good,Moderate
1667,39,Good,Ozone 8-hr,5,Elm, Grass,9/23/2020 5:00,9/23/2020,39,9,Wednesday,Good,Low
1668,37,Good,Ozone 8-hr,5,Elm, Grass,9/22/2020 5:00,9/22/2020,39,9,Tuesday,Good,Low
1669,43,Good,PM2.5,5,Elm, Grass,9/21/2020 5:00,9/21/2020,39,9,Monday,Good,Low
1670,36,Good,PM2.5,5,Elm, Grass,9/20/2020 5:00,9/20/2020,38,9,Sunday,Good,Low
1671,49,Good,PM2.5,5,Elm, Grass,9/19/2020 5:00,9/19/2020,38,9,Saturday,Good,Low
1672,40,Good,Ozone 8-hr,7,Elm, Grass,9/18/2020 5:00,9/18/2020,38,9,Friday,Good,Moderate
1673,40,Good,Ozone 8-hr,7,Grass, Ragweed,9/17/2020 5:00,9/17/2020,38,9,Thursday,Good,Moderate
1674,35,Good,PM2.5,6,Grass, Ragweed,9/16/2020 5:00,9/16/2020,38,9,Wednesday,Good,Moderate
1675,32,Good,PM2.5,7,Grass, Ragweed,9/15/2020 5:00,9/15/2020,38,9,Tuesday,Good,Moderate
1676,20,Good,PM2.5,7,Grass, Ragweed,9/14/2020 5:00,9/14/2020,38,9,Monday,Good,Moderate
1677,32,Good,PM2.5,8,Grass, Ragweed,9/13/2020 5:00,9/13/2020,37,9,Sunday,Good,Moderate
1678,34,Good,PM2.5,8,Grass, Ragweed,9/12/2020 5:00,9/12/2020,37,9,Saturday,Good,Moderate
1679,42,Good,PM2.5,8,Grass, Ragweed,9/11/2020 5:00,9/11/2020,37,9,Friday,Good,Moderate
1680,67,Moderate,Ozone 8-hr,9,Grass, Ragweed,9/10/2020 5:00,9/10/2020,37,9,Thursday,Moderate,Moderate
1681,51,Moderate,Ozone 8-hr,8,Grass, Ragweed,9/9/2020 5:00,9/9/2020,37,9,Wednesday,Moderate,Moderate
1682,47,Good,Ozone 8-hr,8,Grass, Ragweed,9/8/2020 5:00,9/8/2020,37,9,Tuesday,Good,Moderate
1683,44,Good,PM2.5,8,Grass, Ragweed,9/7/2020 5:00,9/7/2020,37,9,Monday,Good,Moderate
1684,44,Good,Ozone 8-hr,9,Grass, Ragweed,9/6/2020 5:00,9/6/2020,36,9,Sunday,Good,Moderate
1685,34,Good,PM2.5,10,Grass, Ragweed,9/5/2020 5:00,9/5/2020,36,9,Saturday,Good,Moderate
1686,51,Moderate,PM2.5,10,Grass, Ragweed,9/4/2020 5:00,9/4/2020,36,9,Friday,Moderate,Moderate
1687,39,Good,PM2.5,10,Grass, Ragweed,9/3/2020 5:00,9/3/2020,36,9,Thursday,Good,Moderate
1688,41,Good,PM2.5,10,Grass, Ragweed,9/2/2020 5:00,9/2/2020,36,9,Wednesday,Good,Moderate
1689,37,Good,PM2.5,10,Grass, Ragweed,9/1/2020 5:00,9/1/2020,36,9,Tuesday,Good,Moderate
1690,37,Good,PM2.5,10,Grass, Ragweed,8/31/2020 5:00,8/31/2020,36,8,Monday,Good,Moderate
1691,32,Good,Ozone 8-hr,9,Grass, Ragweed,8/30/2020 5:00,8/30/2020,35,8,Sunday,Good,Moderate
1692,20,Good,Ozone 8-hr,10,Grass, Ragweed,8/29/2020 5:00,8/29/2020,35,8,Saturday,Good,Moderate
1693,22,Good,PM2.5,10,Grass, Ragweed,8/28/2020 5:00,8/28/2020,35,8,Friday,Good,Moderate
1694,52,Moderate,PM2.5,9,Grass, Ragweed,8/27/2020 5:00,8/27/2020,35,8,Thursday,Moderate,Moderate
1695,48,Good,PM2.5,9,Grass, Ragweed,8/26/2020 5:00,8/26/2020,35,8,Wednesday,Good,Moderate
1696,50,Good,Ozone 8-hr,9,Grass, Ragweed,8/25/2020 5:00,8/25/2020,35,8,Tuesday,Good,Moderate
1697,41,Good,Ozone 8-hr,9,Grass, Ragweed,8/24/2020 5:00,8/24/2020,35,8,Monday,Good,Moderate
1698,38,Good,Ozone 8-hr,9,Grass, Ragweed,8/23/2020 5:00,8/23/2020,34,8,Sunday,Good,Moderate
1699,31,Good,Ozone 8-hr,9,Grass, Ragweed,8/22/2020 5:00,8/22/2020,34,8,Saturday,Good,Moderate
1700,42,Good,Ozone 8-hr,9,Grass, Ragweed,8/21/2020 5:00,8/21/2020,34,8,Friday,Good,Moderate
1701,32,Good,Ozone 8-hr,9,Grass, Ragweed,8/20/2020 5:00,8/20/2020,34,8,Thursday,Good,Moderate
1702,44,Good,Ozone 8-hr,8,Grass, Ragweed,8/19/2020 5:00,8/19/2020,34,8,Wednesday,Good,Moderate
1703,50,Good,PM2.5,8,Grass, Ragweed,8/18/2020 5:00,8/18/2020,34,8,Tuesday,Good,Moderate
1704,40,Good,Ozone 8-hr,8,Grass, Ragweed,8/17/2020 5:00,8/17/2020,34,8,Monday,Good,Moderate
1705,50,Good,PM2.5,8,Grass,Moderate,8/16/2020 5:00,8/16/2020,33,8,Sunday,Good,Moderate
1706,47,Good,PM2.5,8,Grass,Moderate,8/15/2020 5:00,8/15/2020,33,8,Saturday,Good,Moderate
1707,64,Moderate,Ozone 8-hr,7,Grass,Moderate,8/14/2020 5:00,8/14/2020,33,8,Friday,Moderate,Moderate
1708,49,Good,PM2.5,7,Grass,Moderate,8/13/2020 5:00,8/13/2020,33,8,Thursday,Good,Moderate
1709,44,Good,Ozone 8-hr,7,Grass,Moderate,8/12/2020 5:00,8/12/2020,33,8,Wednesday,Good,Moderate
1710,42,Good,Ozone 8-hr,6,Grass,Moderate,8/11/2020 5:00,8/11/2020,33,8,Tuesday,Good,Moderate
1711,41,Good,Ozone 8-hr,6,Grass,Moderate,8/10/2020 5:00,8/10/2020,33,8,Monday,Good,Moderate
1712,54,Moderate,Ozone 8-hr,5,Grass,Moderate,8/9/2020 5:00,8/9/2020,32,8,Sunday,Moderate,Low
1713,50,Good,Ozone 8-hr,5,Grass,Moderate,8/8/2020 5:00,8/8/2020,32,8,Saturday,Good,Low
1714,42,Good,Ozone 8-hr,5,Grass,Moderate,8/7/2020 5:00,8/7/2020,32,8,Friday,Good,Low
1715,41,Good,Ozone 8-hr,5,Grass,Moderate,8/6/2020 5:00,8/6/2020,32,8,Thursday,Good,Low
1716,33,Good,Ozone 8-hr,5,Grass,Moderate,8/5/2020 5:00,8/5/2020,32,8,Wednesday,Good,Low
1717,45,Good,Ozone 8-hr,5,Grass,Moderate,8/4/2020 5:00,8/4/2020,32,8,Tuesday,Good,Low
1718,40,Good,Ozone 8-hr,5,Grass,Slight,8/3/2020 5:00,8/3/2020,32,8,Monday,Good,Low
1719,26,Good,Ozone 8-hr,4,Grass,Slight,8/2/2020 5:00,8/2/2020,31,8,Sunday,Good,Low
1720,32,Good,Ozone 8-hr,4,Grass,Slight,8/1/2020 5:00,8/1/2020,31,8,Saturday,Good,Low
1721,48,Good,PM2.5,4,Grass,Slight,7/31/2020 5:00,7/31/2020,31,7,Friday,Good,Low
1722,30,Good,PM2.5,4,Grass,Slight,7/30/2020 5:00,7/30/2020,31,7,Thursday,Good,Low
1723,45,Good,PM2.5,3,Grass,Slight,7/29/2020 5:00,7/29/2020,31,7,Wednesday,Good,Low
1724,31,Good,Ozone 8-hr,4,Grass,Slight,7/28/2020 5:00,7/28/2020,31,7,Tuesday,Good,Low
1725,34,Good,Ozone 8-hr,4,Grass,Slight,7/27/2020 5:00,7/27/2020,31,7,Monday,Good,Low
1726,34,Good,Ozone 8-hr,3,Grass,Slight,7/26/2020 5:00,7/26/2020,30,7,Sunday,Good,Low
1727,35,Good,Ozone 8-hr,3,Grass,Slight,7/25/2020 5:00,7/25/2020,30,7,Saturday,Good,Low
1728,48,Good,PM2.5,3,Grass,Slight,7/24/2020 5:00,7/24/2020,30,7,Friday,Good,Low
1729,47,Good,PM2.5,3,Grass, Ragweed,7/23/2020 5:00,7/23/2020,30,7,Thursday,Good,Low
1730,52,Moderate,PM2.5,3,Grass, Ragweed,7/22/2020 5:00,7/22/2020,30,7,Wednesday,Moderate,Low
1731,51,Moderate,PM2.5,3,Grass, Ragweed,7/21/2020 5:00,7/21/2020,30,7,Tuesday,Moderate,Low
1732,51,Moderate,PM2.5,3,Grass, Ragweed,7/20/2020 5:00,7/20/2020,30,7,Monday,Moderate,Low
1733,45,Good,PM2.5,2,Grass, Ragweed,7/19/2020 5:00,7/19/2020,29,7,Sunday,Good,Low
1734,41,Good,Ozone 8-hr,3,Grass, Ragweed,7/18/2020 5:00,7/18/2020,29,7,Saturday,Good,Low
1735,55,Moderate,PM2.5,2,Grass, Ragweed,7/17/2020 5:00,7/17/2020,29,7,Friday,Moderate,Low
1736,53,Moderate,PM2.5,2,Grass,Slight,7/16/2020 5:00,7/16/2020,29,7,Thursday,Moderate,Low
1737,77,Moderate,Ozone 8-hr,2,Grass,Slight,7/15/2020 5:00,7/15/2020,29,7,Wednesday,Moderate,Low
1738,61,Moderate,Ozone 8-hr,2,Grass,Slight,7/14/2020 5:00,7/14/2020,29,7,Tuesday,Moderate,Low
1739,48,Good,Ozone 8-hr,3,Grass,Slight,7/13/2020 5:00,7/13/2020,29,7,Monday,Good,Low
1740,47,Good,Ozone 8-hr,3,Grass,Slight,7/12/2020 5:00,7/12/2020,28,7,Sunday,Good,Low
1741,44,Good,Ozone 8-hr,3,Grass,Slight,7/11/2020 5:00,7/11/2020,28,7,Saturday,Good,Low
1742,58,Moderate,Ozone 8-hr,3,Grass,Slight,7/10/2020 5:00,7/10/2020,28,7,Friday,Moderate,Low
1743,49,Good,Ozone 8-hr,3,Grass,Slight,7/9/2020 5:00,7/9/2020,28,7,Thursday,Good,Low
1744,48,Good,PM2.5,2,Grass,Slight,7/8/2020 5:00,7/8/2020,28,7,Wednesday,Good,Low
1745,51,Moderate,PM2.5,2,Grass,Slight,7/7/2020 5:00,7/7/2020,28,7,Tuesday,Moderate,Low
1746,52,Moderate,PM2.5,2,Grass,Slight,7/6/2020 5:00,7/6/2020,28,7,Monday,Moderate,Low
1747,56,Moderate,PM2.5,1,Grass,Slight,7/5/2020 5:00,7/5/2020,27,7,Sunday,Moderate,Low
1748,61,Moderate,PM2.5,3,Grass,Slight,7/4/2020 5:00,7/4/2020,27,7,Saturday,Moderate,Low
1749,43,Good,Ozone 8-hr,3,Grass,Slight,7/3/2020 5:00,7/3/2020,27,7,Friday,Good,Low
1750,51,Moderate,PM2.5,2,Grass,Slight,7/2/2020 5:00,7/2/2020,27,7,Thursday,Moderate,Low
1751,50,Good,PM2.5,0,Grass,Slight,7/1/2020 5:00,7/1/2020,27,7,Wednesday,Good,Low
1752,49,Good,PM2.5,0,Grass,Slight,6/30/2020 5:00,6/30/2020,27,6,Tuesday,Good,Low
1753,80,Moderate,PM2.5,3,Grass,Slight,6/29/2020 5:00,6/29/2020,27,6,Monday,Moderate,Low
1754,57,Moderate,PM2.5,0,Grass,Slight,6/28/2020 5:00,6/28/2020,26,6,Sunday,Moderate,Low
1755,123,Unhealthy for Sensitive Groups,PM2.5,3,Grass,Slight,6/27/2020 5:00,6/27/2020,26,6,Saturday,Unhealthy (Sensitive),Low
1756,71,Moderate,Ozone 8-hr,3,Grass,Slight,6/26/2020 5:00,6/26/2020,26,6,Friday,Moderate,Low
1757,45,Good,Ozone 8-hr,3,Grass,Slight,6/25/2020 5:00,6/25/2020,26,6,Thursday,Good,Low
1758,37,Good,Ozone 8-hr,3,Grass,Slight,6/24/2020 5:00,6/24/2020,26,6,Wednesday,Good,Low
1759,36,Good,Ozone 8-hr,0,Grass,Slight,6/23/2020 5:00,6/23/2020,26,6,Tuesday,Good,Low
1760,30,Good,Ozone 8-hr,2,Grass,Slight,6/22/2020 5:00,6/22/2020,26,6,Monday,Good,Low
1761,58,Moderate,Ozone 8-hr,2,Grass,Slight,6/21/2020 5:00,6/21/2020,25,6,Sunday,Moderate,Low
1762,77,Moderate,Ozone 8-hr,2,Grass,Slight,6/20/2020 5:00,6/20/2020,25,6,Saturday,Moderate,Low
1763,77,Moderate,Ozone 8-hr,2,Grass,Slight,6/19/2020 5:00,6/19/2020,25,6,Friday,Moderate,Low
1764,38,Good,Ozone 8-hr,2,Grass,Slight,6/18/2020 5:00,6/18/2020,25,6,Thursday,Good,Low
1765,38,Good,Ozone 8-hr,3,Grass, Poplar,6/17/2020 5:00,6/17/2020,25,6,Wednesday,Good,Low
1766,45,Good,Ozone 8-hr,3,Grass, Poplar,6/16/2020 5:00,6/16/2020,25,6,Tuesday,Good,Low
1767,47,Good,Ozone 8-hr,3,Grass, Poplar,6/15/2020 5:00,6/15/2020,25,6,Monday,Good,Low
1768,74,Moderate,Ozone 8-hr,3,Grass, Poplar,6/14/2020 5:00,6/14/2020,24,6,Sunday,Moderate,Low
1769,48,Good,Ozone 8-hr,4,Grass, Poplar,6/13/2020 5:00,6/13/2020,24,6,Saturday,Good,Low
1770,44,Good,Ozone 8-hr,4,Grass, Poplar,6/12/2020 5:00,6/12/2020,24,6,Friday,Good,Low
1771,43,Good,Ozone 8-hr,4,Grass, Juniper,6/11/2020 5:00,6/11/2020,24,6,Thursday,Good,Low
1772,22,Good,Ozone 8-hr,5,Grass, Juniper,6/10/2020 5:00,6/10/2020,24,6,Wednesday,Good,Low
1773,25,Good,Ozone 8-hr,0,Grass, Juniper,6/9/2020 5:00,6/9/2020,24,6,Tuesday,Good,Low
1774,58,Moderate,Ozone 8-hr,5,Grass, Juniper,6/8/2020 5:00,6/8/2020,24,6,Monday,Moderate,Low
1775,54,Moderate,Ozone 8-hr,5,Grass, Juniper,6/7/2020 5:00,6/7/2020,23,6,Sunday,Moderate,Low
1776,44,Good,Ozone 8-hr,5,Grass, Juniper,6/6/2020 5:00,6/6/2020,23,6,Saturday,Good,Low
1777,34,Good,Ozone 8-hr,5,Grass, Juniper,6/5/2020 5:00,6/5/2020,23,6,Friday,Good,Low
1778,52,Moderate,PM2.5,2,Grass, Maple,6/4/2020 5:00,6/4/2020,23,6,Thursday,Moderate,Low
1779,46,Good,Ozone 8-hr,5,Grass, Maple,6/3/2020 5:00,6/3/2020,23,6,Wednesday,Good,Low
1780,47,Good,Ozone 8-hr,6,Grass, Maple,6/2/2020 5:00,6/2/2020,23,6,Tuesday,Good,Moderate
1781,41,Good,Ozone 8-hr,6,Grass, Maple,6/1/2020 5:00,6/1/2020,23,6,Monday,Good,Moderate
1782,42,Good,Ozone 8-hr,6,Grass, Maple,5/31/2020 5:00,5/31/2020,22,5,Sunday,Good,Moderate
1783,39,Good,Ozone 8-hr,4,Grass, Maple,5/30/2020 5:00,5/30/2020,22,5,Saturday,Good,Low
1784,39,Good,Ozone 8-hr,4,Grass, Maple,5/29/2020 5:00,5/29/2020,22,5,Friday,Good,Low
1785,24,Good,Ozone 8-hr,3,Grass, Juniper,5/28/2020 5:00,5/28/2020,22,5,Thursday,Good,Low
1786,34,Good,Ozone 8-hr,2,Grass, Juniper,5/27/2020 5:00,5/27/2020,22,5,Wednesday,Good,Low
1787,48,Good,PM2.5,5,Grass, Juniper,5/26/2020 5:00,5/26/2020,22,5,Tuesday,Good,Low
1788,31,Good,Ozone 8-hr,6,Grass, Juniper,5/25/2020 5:00,5/25/2020,22,5,Monday,Good,Moderate
1789,31,Good,Ozone 8-hr,3,Grass, Juniper,5/24/2020 5:00,5/24/2020,21,5,Sunday,Good,Low
1790,33,Good,Ozone 8-hr,5,Grass, Juniper,5/23/2020 5:00,5/23/2020,21,5,Saturday,Good,Low
1791,30,Good,Ozone 8-hr,5,Grass, Juniper,5/22/2020 5:00,5/22/2020,21,5,Friday,Good,Low
1792,27,Good,Ozone 8-hr,4,Grass, Maple,5/21/2020 5:00,5/21/2020,21,5,Thursday,Good,Low
1793,27,Good,Ozone 8-hr,5,Grass, Maple,5/20/2020 5:00,5/20/2020,21,5,Wednesday,Good,Low
1794,31,Good,Ozone 8-hr,3,Grass, Maple,5/19/2020 5:00,5/19/2020,21,5,Tuesday,Good,Low
1795,29,Good,Ozone 8-hr,0,Grass, Maple,5/18/2020 5:00,5/18/2020,21,5,Monday,Good,Low
1796,44,Good,Ozone 8-hr,6,Grass, Maple,5/17/2020 5:00,5/17/2020,20,5,Sunday,Good,Moderate
1797,42,Good,Ozone 8-hr,6,Grass, Maple,5/16/2020 5:00,5/16/2020,20,5,Saturday,Good,Moderate
1798,47,Good,Ozone 8-hr,7,Grass, Maple,5/15/2020 5:00,5/15/2020,20,5,Friday,Good,Moderate
1799,51,Moderate,PM2.5,7,Grass, Maple,5/14/2020 5:00,5/14/2020,20,5,Thursday,Moderate,Moderate
1800,41,Good,Ozone 8-hr,1,Hickory, Sweet Gum,5/13/2020 5:00,5/13/2020,20,5,Wednesday,Good,Low
1801,40,Good,Ozone 8-hr,4,Hickory, Sweet Gum,5/12/2020 5:00,5/12/2020,20,5,Tuesday,Good,Low
1802,44,Good,Ozone 8-hr,7,Hickory, Sweet Gum,5/11/2020 5:00,5/11/2020,20,5,Monday,Good,Moderate
1803,42,Good,Ozone 8-hr,7,Hickory, Sweet Gum,5/10/2020 5:00,5/10/2020,19,5,Sunday,Good,Moderate
1804,37,Good,Ozone 8-hr,7,Hickory, Sweet Gum,5/9/2020 5:00,5/9/2020,19,5,Saturday,Good,Moderate
1805,44,Good,Ozone 8-hr,2,Hickory, Sweet Gum,5/8/2020 5:00,5/8/2020,19,5,Friday,Good,Low
1806,38,Good,Ozone 8-hr,7,Hickory, Sweet Gum,5/7/2020 5:00,5/7/2020,19,5,Thursday,Good,Moderate
1807,33,Good,Ozone 8-hr,8,Hickory, Sweet Gum,5/6/2020 5:00,5/6/2020,19,5,Wednesday,Good,Moderate
1808,42,Good,Ozone 8-hr,6,Hickory, Sweet Gum,5/5/2020 5:00,5/5/2020,19,5,Tuesday,Good,Moderate
1809,42,Good,Ozone 8-hr,6,Hickory, Sweet Gum,5/4/2020 5:00,5/4/2020,19,5,Monday,Good,Moderate
1810,48,Good,Ozone 8-hr,8,Hickory, Sweet Gum,5/3/2020 5:00,5/3/2020,18,5,Sunday,Good,Moderate
1811,58,Moderate,Ozone 8-hr,8,Hickory, Sweet Gum,5/2/2020 5:00,5/2/2020,18,5,Saturday,Moderate,Moderate
1812,43,Good,Ozone 8-hr,8,Maple, Mulberry,5/1/2020 5:00,5/1/2020,18,5,Friday,Good,Moderate
1813,39,Good,Ozone 8-hr,6,Birch, Maple,4/30/2020 5:00,4/30/2020,18,4,Thursday,Good,Moderate
1814,45,Good,Ozone 8-hr,8,Birch, Maple,4/29/2020 5:00,4/29/2020,18,4,Wednesday,Good,Moderate
1815,51,Moderate,PM2.5,8,Birch, Maple,4/28/2020 5:00,4/28/2020,18,4,Tuesday,Moderate,Moderate
1816,35,Good,Ozone 8-hr,8,Birch, Maple,4/27/2020 5:00,4/27/2020,18,4,Monday,Good,Moderate
1817,35,Good,Ozone 8-hr,8,Birch, Maple,4/26/2020 5:00,4/26/2020,17,4,Sunday,Good,Moderate
1818,41,Good,Ozone 8-hr,8,Birch, Maple,4/25/2020 5:00,4/25/2020,17,4,Saturday,Good,Moderate
1819,34,Good,Ozone 8-hr,8,Birch, Maple,4/24/2020 5:00,4/24/2020,17,4,Friday,Good,Moderate
1820,40,Good,Ozone 8-hr,8,Juniper, Maple,4/23/2020 5:00,4/23/2020,17,4,Thursday,Good,Moderate
1821,41,Good,Ozone 8-hr,8,Juniper, Maple,4/22/2020 5:00,4/22/2020,17,4,Wednesday,Good,Moderate
1822,44,Good,Ozone 8-hr,9,Juniper, Maple,4/21/2020 5:00,4/21/2020,17,4,Tuesday,Good,Moderate
1823,45,Good,PM2.5,7,Juniper, Maple,4/20/2020 5:00,4/20/2020,17,4,Monday,Good,Moderate
1824,43,Good,Ozone 8-hr,7,Juniper, Maple,4/19/2020 5:00,4/19/2020,16,4,Sunday,Good,Moderate
1825,51,Moderate,Ozone 8-hr,9,Juniper, Maple,4/18/2020 5:00,4/18/2020,16,4,Saturday,Moderate,Moderate
